lon,lat,x,y,s,t,b,b_inferred,source,VX,VY,ERRX,ERRY,xflux,yflux,xflux_err,yflux_err,source_age
149.1043,-81.7263,462365.3303185519,-772687.7650792513,2026.0,1440.0,586.0,False,BEDMAP1_1966-2000_AIR_BM1.csv,-18.895999017195287,-31.746605909822435,0.15528931650090624,0.19016383168716045,-27210.238584761213,-45715.1125101443,223.61661576130498,273.835917629511,34
152.682899,-81.735066,412795.0659742777,-799190.4323191127,1759.27,1363.33,395.94,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-7.325822440434185,-15.098900977676655,0.5210404996502365,0.7079507807140394,-9987.513507717136,-20584.78466989591,710.3501443881569,965.1705378708713,6
152.636262,-81.746701,412861.4778027111,-797725.8298843865,1765.29,1541.25,224.04,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-7.278521799756129,-15.651485685229618,0.5341155032800008,0.7454288435111234,-11218.021723874135,-24122.852312360148,823.2055194303013,1148.892205061519,6
152.588092,-81.758214,412953.2250761723,-796262.4428380189,1781.78,1286.74,495.04,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-6.939647187015235,-14.372061476354272,0.5854414407591524,0.8237851764510351,-8929.521621419985,-18493.106384084094,753.3109194824317,1059.9973379466048,6
152.53891,-81.76964,413061.23104783735,-794800.6154083977,1786.29,1518.35,267.94,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.67004032605792,-15.495773611105816,0.5577269340403941,0.7807080693804949,-7090.755729070043,-23528.007862422513,846.8246903002323,1185.3880971438743,6
152.489979,-81.781091,413162.3036928084,-793338.5941965508,1804.79,1479.64,325.15,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.426629840488048,-14.392408479145828,0.40276717307221116,0.5406358989914991,-6549.818577179736,-21295.583282083335,595.9504199645665,799.9465015837818,6
152.447008,-81.793031,413154.1161034693,-791872.642134014,1828.46,1308.93,519.53,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.701424939127366,-14.656199914779428,0.3998460242166495,0.5544698163193187,-4844.906145571983,-19183.939754452236,523.3704564778991,725.7621766748458,6
152.403024,-81.804901,413161.486186202,-790406.6347927843,1833.48,1533.83,299.64,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-5.646192073398757,-11.633277076808975,0.45082882822159703,0.637670591376157,-8660.298787941216,-17843.469378721908,691.4947815911321,978.0782831704909,6
152.354064,-81.816376,413255.3858238157,-788943.4189022362,1842.53,1482.68,359.85,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-5.823692171977929,-12.993059574590275,0.3840487036696657,0.5397867870151953,-8634.671909548237,-19264.54957005351,569.42133195694,800.3310733716899,6
152.306873,-81.828001,413315.1700489615,-787478.8958071296,1847.39,1645.11,202.28,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-6.615003407731925,-12.362193167173743,0.4111895266973646,0.5712297375249348,-10882.408256093868,-20337.167601249195,676.4520022651014,939.7357534996454,6
