x,y
350000,-800500
350500,-801000
351000,-801500
351500,-802000
352000,-802500
352500,-803000
353000,-803500
353500,-804000
354000,-804500
354500,-805000
355000,-805500
355500,-806000
356000,-806500
356500,-807000
357000,-807500
357500,-808000
358000,-808500
358500,-809000
359000,-809500
359500,-810000
360000,-810500
360500,-811000
361000,-811500
361500,-812000
362000,-812500
362500,-813000
363000,-813500
363500,-814000
364000,-814500
364500,-815000
365000,-815500
365500,-816000
366000,-816500
366500,-817000
367000,-817500
367500,-818000
368000,-818500
368500,-819000
369000,-819500
369500,-820000
370000,-820500
370500,-821000
371000,-821500
371500,-822000
372000,-822500
372500,-823000
373000,-823500
373500,-824000
374000,-824500
374500,-825000
375000,-825500
375500,-826000
376000,-826500
376500,-827000
377000,-827500
377500,-828000
378000,-828500
378500,-829000
379000,-829500
379500,-830000
380000,-830500
380500,-831000
381000,-831500
381500,-832000
382000,-832500
382500,-833000
383000,-833500
383500,-834000
384000,-834500
384500,-835000
385000,-835500
385500,-836000
386000,-836500
386500,-837000
387000,-837500
387500,-838000
388000,-838500
388500,-839000
389000,-839500
389500,-840000
390000,-840500
390500,-841000
391000,-841500
391500,-842000
392000,-842500
392500,-843000
393000,-843500
393500,-844000
394000,-844500
394500,-845000
395000,-845500
395500,-846000
396000,-846500
396500,-847000
397000,-847500
397500,-848000
398000,-848500
398500,-849000
399000,-849500
399500,-850000
400000,-850500
400500,-851000
401000,-851500
401500,-852000
402000,-852500
402500,-853000
403000,-853500
403500,-854000
404000,-854500
404500,-855000
405000,-855500
405500,-856000
406000,-856500
406500,-857000
407000,-857500
407500,-858000
408000,-858500
408500,-859000
409000,-859500
409500,-860000
410000,-860500
410500,-861000
411000,-861500
411500,-862000
412000,-862500
412500,-863000
413000,-863500
413500,-864000
414000,-864500
414500,-865000
415000,-865500
415500,-866000
416000,-866500
416500,-867000
417000,-867500
417500,-868000
418000,-868500
418500,-869000
419000,-869500
419500,-870000
420000,-870500
420500,-871000
421000,-871500
421500,-872000
422000,-872500
422500,-873000
423000,-873500
423500,-874000
424000,-874500
424500,-875000
425000,-875500
425500,-876000
426000,-876500
426500,-877000
427000,-877500
427500,-878000
428000,-878500
428500,-879000
429000,-879500
429500,-880000
430000,-880500
430500,-881000
431000,-881500
431500,-882000
432000,-882500
432500,-883000
433000,-883500
433500,-884000
434000,-884500
434500,-885000
435000,-885500
435500,-886000
436000,-886500
436500,-887000
437000,-887500
437500,-888000
438000,-888500
438500,-889000
439000,-889500
439500,-890000
440000,-890500
440500,-891000
441000,-891500
441500,-892000
442000,-892500
442500,-893000
443000,-893500
443500,-894000
444000,-894500
444500,-895000
445000,-895500
445500,-896000
446000,-896500
446500,-897000
447000,-897500
447500,-898000
448000,-898500
448500,-899000
449000,-899500
449500,-900000
450000,-900500
450500,-901000
451000,-901500
451500,-902000
452000,-902500
452500,-903000
453000,-903500
453500,-904000
454000,-904500
454500,-905000
455000,-905500
455500,-906000
456000,-906500
456500,-907000
457000,-907500
457500,-908000
458000,-908500
458500,-909000
459000,-909500
459500,-910000
460000,-910500
460500,-911000
461000,-911500
461500,-912000
462000,-912500
462500,-913000
463000,-913500
463500,-914000
464000,-914500
464500,-915000
465000,-915500
465500,-916000
466000,-916500
466500,-917000
467000,-917500
467500,-918000
468000,-918500
468500,-919000
469000,-919500
469500,-920000
470000,-920500
470500,-921000
471000,-921500
471500,-922000
472000,-922500
472500,-923000
473000,-923500
473500,-924000
474000,-924500
474500,-925000
475000,-925500
475500,-926000
476000,-926500
476500,-927000
477000,-927500
477500,-928000
478000,-928500
478500,-929000
479000,-929500
479500,-930000
480000,-930500
480500,-931000
481000,-931500
481500,-932000
482000,-932500
482500,-933000
483000,-933500
483500,-934000
484000,-934500
484500,-935000
485000,-935500
485500,-936000
486000,-936500
486500,-937000
487000,-937500
487500,-938000
488000,-938500
488500,-939000
489000,-939500
489500,-940000
490000,-940500
490500,-941000
491000,-941500
491500,-942000
492000,-942500
492500,-943000
493000,-943500
493500,-944000
494000,-944500
494500,-945000
495000,-945500
495500,-946000
496000,-946500
496500,-947000
497000,-947500
497500,-948000
498000,-948500
498500,-949000
499000,-949500
499500,-950000
500000,-950500
500500,-951000
501000,-951500
501500,-952000
502000,-952500
502500,-953000
503000,-953500
503500,-954000
504000,-954500
504500,-955000
505000,-955500
505500,-956000
506000,-956500
506500,-957000
507000,-957500
507500,-958000
508000,-958500
508500,-959000
509000,-959500
509500,-960000
510000,-960500
510500,-961000
511000,-961500
511500,-962000
512000,-962500
512500,-963000
513000,-963500
513500,-964000
514000,-964500
514500,-965000
515000,-965500
515500,-966000
516000,-966500
516500,-967000
517000,-967500
517500,-968000
518000,-968500
518500,-969000
519000,-969500
519500,-970000
520000,-970500
520500,-971000
521000,-971500
521500,-972000
522000,-972500
522500,-973000
523000,-973500
523500,-974000
524000,-974500
524500,-975000
525000,-975500
525500,-976000
526000,-976500
526500,-977000
527000,-977500
527500,-978000
528000,-978500
528500,-979000
529000,-979500
529500,-980000
530000,-980500
530500,-981000
531000,-981500
531500,-982000
532000,-982500
532500,-983000
533000,-983500
533500,-984000
534000,-984500
534500,-985000
535000,-985500
535500,-986000
536000,-986500
536500,-987000
537000,-987500
537500,-988000
538000,-988500
538500,-989000
539000,-989500
539500,-990000
540000,-990500
540500,-991000
541000,-991500
541500,-992000
542000,-992500
542500,-993000
543000,-993500
543500,-994000
544000,-994500
544500,-995000
545000,-995500
545500,-996000
546000,-996500
546500,-997000
547000,-997500
547500,-998000
548000,-998500
548500,-999000
549000,-999500
549500,-1000000
