,center_index,t_mean,t_std,t_count,t_sem,t_sem_check,x,y
0,350000_-980000,95.89277777777778,5.365274846921314,18,1.264607409062559,1.264607409062559,350000,-980000
1,350000_-990500,640.07,,1,,,350000,-990500
2,350000_-991000,670.9481818181819,17.31580539171186,11,5.220911766101931,5.220911766101931,350000,-991000
3,350000_-999000,744.4780000000001,3.2120529952733947,10,1.0157403430229985,1.0157403430229985,350000,-999000
4,350500_-980000,88.76714285714286,3.491351138615144,35,0.590146053910368,0.590146053910368,350500,-980000
5,350500_-991000,728.0621428571429,13.268042101560928,14,3.5460334098095068,3.5460334098095068,350500,-991000
6,350500_-991500,708.9777777777778,11.170677886522501,9,3.7235592955075005,3.7235592955075005,350500,-991500
7,350500_-998500,750.875238095238,1.4412897663121471,21,0.31451521202336324,0.31451521202336324,350500,-998500
8,350500_-999000,750.05,,1,,,350500,-999000
9,351000_-980000,66.90914285714287,8.685536785006299,35,1.4681236736898229,1.4681236736898229,351000,-980000
10,351000_-991500,700.8606666666667,5.165375752708341,15,1.3336942844762003,1.3336942844762003,351000,-991500
11,351000_-992000,707.1166666666667,0.7474623736349414,9,0.24915412454498045,0.24915412454498045,351000,-992000
12,351000_-998000,741.7715384615385,1.7673702034088714,13,0.49018029931676205,0.49018029931676205,351000,-998000
13,351000_-998500,745.0325,1.3207546544088662,8,0.4669572862081021,0.4669572862081021,351000,-998500
14,351500_-980000,54.89166666666667,2.4827065642274313,24,0.50678035528463,0.50678035528463,351500,-980000
15,351500_-980500,55.15416666666667,2.550605840092731,12,0.7362964841870849,0.7362964841870849,351500,-980500
16,351500_-992000,752.0712500000001,20.869279775146328,16,5.217319943786582,5.217319943786582,351500,-992000
17,351500_-992500,777.4814285714285,1.6237552008787512,7,0.6137217787961291,0.6137217787961291,351500,-992500
18,351500_-997500,738.7216666666667,0.2254255235474755,6,0.09202958461517818,0.09202958461517818,351500,-997500
19,351500_-998000,738.9793333333333,0.6401056460423374,15,0.16527456712902083,0.16527456712902083,351500,-998000
20,352000_-980500,29.852571428571427,9.794511771412404,35,1.6555746593195466,1.6555746593195466,352000,-980500
